ano;cod_uf;cod_munic;pib;prop_serv;pop;arrecad;educ;cod_reg;idade;area;larrecad;lpib;leduc;lpop;lprop_serv;a2001;a2002;a2003;a2004;a2005;a2006;a2007;uf_r
2002;31;3138682;11822.764;0.62861273387509;6307;57741.56;8.8348623853211;3;5;424.748;10.9637324705174;9.3777821045711;2.17870552956898;8.74941540666365;-0.464239897307003;0;1;0;0;0;0;0;31
2003;31;3138682;13798.238;0.599980156886698;6394;67606.35;8.96581196581197;3;6;424.748;11.1214571925307;9.53229618183394;2.19341867359854;8.76311532961979;-0.51085869616838;0;0;1;0;0;0;0;31
2004;31;3138682;14549.938;0.632331697908266;6575;74813.16;7.69230769230769;3;7;424.748;11.2227490843166;9.58534201142217;2.04022082852655;8.79102985704596;-0.458341184052368;0;0;0;1;0;0;0;31
2005;31;3138682;18195.62;0.611373616287876;6675;111557.31;8.98328267477204;3;8;424.748;11.6222937288656;9.80893618476112;2.19536536949905;8.80612448326845;-0.492047023404055;0;0;0;0;1;0;0;31
2006;31;3138682;18589.602;0.650723183852995;6775;203480.4;8.53400503778338;3;9;424.748;12.2233249647299;9.83035767112644;2.14405877508475;8.8209946457479;-0.42967094401955;0;0;0;0;0;1;0;31
2007;31;3138682;21550.819;0.645514771387575;6432;101002.09;8.42857142857143;3;10;424.748;11.5228964886786;9.97816909945011;2.13162729485041;8.7690408108588;-0.437707185320435;0;0;0;0;0;0;1;31
2001;31;3138708;18813.488;0.489705736650216;5517;54457.64;4.6078167115903;3;52;498.715;10.9051784307313;9.84232933838462;1.52775414647192;8.61558951327243;-0.713950605720843;1;0;0;0;0;0;0;31
2002;31;3138708;22328.931;0.463731201462354;5543;96871.93;4.85216110019646;3;53;498.715;11.4811450758309;10.0136384708714;1.57942419337406;8.6202911494198;-0.768450201812329;0;1;0;0;0;0;0;31
2003;31;3138708;25826.387;0.43801980509314;5571;96628.05;5.78006456820016;3;54;498.715;11.4786243507214;10.1591520001933;1.75441485359078;8.62532985002082;-0.825491152520328;0;0;1;0;0;0;0;31
2004;31;3138708;28434.04;0.442164673046813;5630;126821.45;5.37491432488005;3;55;498.715;11.7505354707165;10.2553422979612;1.68174263432949;8.63586472113374;-0.816072902834642;0;0;0;1;0;0;0;31
2005;31;3138708;30027.499;0.466672565703857;5663;150407.24;5.68891242937853;3;56;498.715;11.9211018276371;10.3098688741258;1.73851909267738;8.6417090661138;-0.762127411332812;0;0;0;0;1;0;0;31
2006;31;3138708;32406.816;0.49786202384091;5696;153711.83;5.79327199539966;3;57;498.715;11.9428348946845;10.386124050026;1.75669724343754;8.64751945309181;-0.697432300906273;0;0;0;0;0;1;0;31
2007;31;3138708;33975.043;0.520750893530878;5374;185803.33;6.15314285714286;3;58;498.715;12.1324440276986;10.433381504655;1.81696298496695;8.58932778917544;-0.652483482988705;0;0;0;0;0;0;1;31
2001;31;3138807;93044.284;0.500056392502306;16863;654100.11;7.79735682819383;3;62;1171.67;13.3910156921193;11.4408308308445;2.05378480808647;9.73287715167018;-0.693034401915084;1;0;0;0;0;0;0;31
2002;31;3138807;109732.96;0.483801949751469;16917;684693.16;7.81328200192493;3;63;1171.67;13.4367260752827;11.605805056924;2.05582510629962;9.73607431247529;-0.726079650736883;0;1;0;0;0;0;0;31
2003;31;3138807;132400.613;0.461405597872874;16957;918723.78;8.1004746835443;3;64;1171.67;13.7307407903264;11.7935875523837;2.09192266286801;9.73843600690713;-0.773477800951811;0;0;1;0;0;0;0;31
2004;31;3138807;146011.818;0.46715601472752;17039;708277.67;8.10792831930491;3;65;1171.67;13.4705914850553;11.8914428426201;2.09284238781374;9.74326011321524;-0.761091998459431;0;0;0;1;0;0;0;31
2005;31;3138807;161089.498;0.483633520293173;17084;852765.16;8.25620145326986;3;66;1171.67;13.6562394779006;11.9897153777167;2.11096460927362;9.74589763196136;-0.726427848555163;0;0;0;0;1;0;0;31
2006;31;3138807;168113.007;0.518693767698772;17129;1210474.9;8.38266728624535;3;67;1171.67;14.0065233199119;12.0323916929649;2.12616615576459;9.74852821249799;-0.656441612929718;0;0;0;0;0;1;0;31
2007;31;3138807;191643.196;0.522268111203906;17173;1229876.34;8.38523090992227;3;68;1171.67;14.0224241857091;12.1633905679609;2.12647193334826;9.75109366198386;-0.649574199962652;0;0;0;0;0;0;1;31
2001;31;3138906;13751.115;0.679737897617757;6924;45489.4;7.35856573705179;3;47;329.757;10.725234610765;9.52887519071612;1.99586504106746;8.8427489162961;-0.386047999794648;1;0;0;0;0;0;0;31
2002;31;3138906;16957.974;0.637588841685923;6927;70446.97;6.46897810218978;3;48;329.757;11.1626155071755;9.7384934446631;1.86701815201821;8.84318209802261;-0.45006165215186;0;1;0;0;0;0;0;31
2003;31;3138906;18527.593;0.634503413368374;6931;69808.4;6.80094043887147;3;49;329.757;11.1535096253493;9.82701641337843;1.91706090245356;8.84375938191798;-0.454912612222977;0;0;1;0;0;0;0;31
2004;31;3138906;20418.032;0.638705581419404;6941;110414.89;7.38629283489097;3;50;329.757;11.612000276919;9.92417371097232;1.99962596293539;8.84520113533958;-0.448311679734435;0;0;0;1;0;0;0;31
2005;31;3138906;24180.855;0.653814598367179;6946;130755.11;7.57182320441989;3;51;329.757;11.7810814633815;10.0933164833451;2.02443388447701;8.84592123330402;-0.424931456450665;0;0;0;0;1;0;0;31
2006;31;3138906;27222.484;0.670500127762037;6952;134735.76;8.01010101010101;3;52;329.757;11.8110708060071;10.2117985284709;2.08070337150026;8.84678466694523;-0.399731385713015;0;0;0;0;0;1;0;31
2007;31;3138906;30068.282;0.65305280827152;6855;163897.32;8.86375321336761;3;53;329.757;12.0069954131644;10.3112261409949;2.18197028816514;8.83273359199642;-0.426097282728177;0;0;0;0;0;0;1;31
2001;31;3139003;222120.366;0.488073921145979;35376;1475026.48;5.88987645542618;3;62;583.752;14.2041865001373;12.3109747031122;1.77323502213386;10.4737889030972;-0.717288406842433;1;0;0;0;0;0;0;31
2002;31;3139003;289034.819;0.437249485848278;35754;1879125.23;5.81455871259744;3;63;583.752;14.4463169233275;12.5743024408062;1.76036489531756;10.484417429975;-0.827251340959983;0;1;0;0;0;0;0;31
2003;31;3139003;316752.226;0.452511983293844;36161;1549041;6.19849955869373;3;64;583.752;14.2531465877382;12.665875125783;1.82430725610041;10.495736468991;-0.792941033775474;0;0;1;0;0;0;0;31
2004;31;3139003;451845.293;0.360239561021608;37015;1921157;6.05077188249401;3;65;583.752;14.4684381666776;13.021095128102;1.80018584778793;10.5190785148772;-1.0209860215616;0;0;0;1;0;0;0;31
2005;31;3139003;358298.789;0.465922802770065;37488;2266274.87;6.62785887128249;3;66;583.752;14.6336480150671;12.789122523438;1.89128180653172;10.5317761607476;-0.763735317871214;0;0;0;0;1;0;0;31
2006;31;3139003;470869.103;0.489638231795387;37958;2316663.75;6.67631375850698;3;67;583.752;14.6556386698793;13.0623354214224;1.89856600267409;10.5442355642969;-0.71408846301534;0;0;0;0;0;1;0;31
2007;31;3139003;469116.062;0.480680778736585;37567;2791438.42;7.16282692168369;3;68;583.752;14.8420675836648;13.0586054837645;1.96890472451527;10.5338812844349;-0.732551890867568;0;0;0;0;0;0;1;31
2001;31;3139102;14073.237;0.586237835687696;4824;63284.14;6.83783783783784;3;47;493.569;11.055390023816;9.55203018761366;1.9224715760833;8.48135873840702;-0.534029708796926;1;0;0;0;0;0;0;31
2002;31;3139102;15821.358;0.589236714067149;4895;109977;7.12529274004684;3;48;493.569;11.6080265320029;9.66911607834551;1.96365081163306;8.49596955496461;-0.528927284612029;0;1;0;0;0;0;0;31
2003;31;3139102;27511.047;0.422609470297514;4969;68481.68;7.58089887640449;3;49;493.569;11.134321543225;10.2223429120821;2.02563177790124;8.51097389160232;-0.861306764449962;0;0;1;0;0;0;0;31
2004;31;3139102;32333.435;0.405818559024119;5125;106062;7.48114901256733;3;50;493.569;11.5717791077639;10.3838571131424;2.01238639149517;8.54188580400661;-0.901849118224877;0;0;0;1;0;0;0;31
2005;31;3139102;35779.502;0.424892023371371;5212;100438.2;7.65061295971979;3;51;493.569;11.517297891964;10.4851304385757;2.03478577008214;8.55871893824474;-0.855920204992703;0;0;0;0;1;0;0;31
2006;31;3139102;32286.039;0.519251246645648;5298;122954.39;7.98457350272232;3;52;493.569;11.7195687525783;10.3823901866707;2.0775113679327;8.57508466983201;-0.655367415370545;0;0;0;0;0;1;0;31
2007;31;3139102;36511.622;0.495236119611449;4951;136522.5;8.19143356643357;3;53;493.569;11.8242447151882;10.5053858998475;2.10308892118408;8.50734485536142;-0.702720620830167;0;0;0;0;0;0;1;31
2001;31;3139201;32686.471;0.726807093980871;19247;263110.85;6.9907192575406;3;62;719.345;12.4803307052507;10.3947165403883;1.94458344902655;9.86511048341512;-0.319094181939689;1;0;0;0;0;0;0;31
2002;31;3139201;40333.956;0.687773646601886;19259;455525.87;6.31109257714762;3;63;719.345;13.0292077888005;10.6049489738081;1.84230881166701;9.86573376292421;-0.374295497213979;0;1;0;0;0;0;0;31
2003;31;3139201;46253.457;0.657395316419268;19263;464244.51;7.89559925093633;3;64;719.345;13.04816665362;10.7418914860932;2.06630554741567;9.86594143646216;-0.419469742177659;0;0;1;0;0;0;0;31
2004;31;3139201;48440.663;0.661094337210042;19272;287904.18;7.02039800995025;3;65;719.345;12.5703829954251;10.7880948846089;1.94881991300464;9.86640854429471;-0.413858730387894;0;0;0;1;0;0;0;31
2005;31;3139201;55954.103;0.671894981499391;19277;372088.74;7.78985507246377;3;66;719.345;12.8268876531942;10.9322870443846;2.05282225540456;9.86666795439759;-0.397653228202262;0;0;0;0;1;0;0;31
2006;31;3139201;66439.259;0.649360839500031;19282;619508.47;8.4343347639485;3;67;719.345;13.3366816522743;11.1040434107451;2.13231084672879;9.86692729722433;-0.431766723718621;0;0;0;0;0;1;0;31
2007;31;3139201;70086.034;0.662409632138694;17917;790834.58;8.60031347962383;3;68;719.345;13.5808440971931;11.1574788235019;2.15179865371419;9.7935052617999;-0.411871134744627;0;0;0;0;0;0;1;31
2001;31;3139250;8543.093;0.650116064521363;6025;37329.89;7.23711340206186;3;8;290.283;10.5275496252126;9.05287839919795;1.97922242552243;8.70367275835886;-0.430604371230441;1;0;0;0;0;0;0;31
2002;31;3139250;11993.093;0.550649111117541;5959;100228.76;7.33253588516746;3;9;290.283;11.5152104523969;9.39208617972513;1.99232141584556;8.69265796074698;-0.596657494614672;0;1;0;0;0;0;0;31
2003;31;3139250;12142.523;0.574420406698015;5876;104191.47;8.00777202072539;3;10;290.283;11.5539855431463;9.40446886839146;2.08041257266729;8.67863153729377;-0.554393734897967;0;0;1;0;0;0;0;31
2004;31;3139250;13780.075;0.564464344352262;5702;76908.14;8.15151515151515;3;11;290.283;11.2503670016474;9.53097898722338;2.09820381813536;8.64857226947262;-0.571878060625101;0;0;0;1;0;0;0;31
2005;31;3139250;15608.252;0.585363306538106;5605;110780.38;8.20762711864407;3;12;290.283;11.6153049618033;9.65555502773899;2.10506385838139;8.63141433550626;-0.535522587696566;0;0;0;0;1;0;0;31
2006;31;3139250;14719.553;0.700698180168922;5510;109490.98;8.33333333333333;3;13;290.283;11.6035974504165;9.59693202497396;2.12026353620009;8.61431990214696;-0.355678040770542;0;0;0;0;0;1;0;31
2007;31;3139250;19136.247;0.625878992887163;6247;97646.68;8.23415492957746;3;14;290.283;11.4891109367509;9.85933956427575;2.10829073900474;8.73985662749357;-0.46859822866448;0;0;0;0;0;0;1;31
